web-scraper-order,web-scraper-start-url,berita,berita-href
"1591761262-33","https://kumparan.com/search/haji%202020/","Keberangkatan Tertunda, Calon Jemaah Haji Tak Ambil Pusing","https://kumparan.com/tugujogja/keberangkatan-tertunda-calon-jemaah-haji-tak-ambil-pusing-1tYJ9xqx2Di"
"1591761262-110","https://kumparan.com/search/haji%202020/","Ulama Aceh Minta Jemaah Haji Bersabar hingga Tahun Depan","https://kumparan.com/kumparannews/ulama-aceh-minta-jemaah-haji-bersabar-hingga-tahun-depan-1tXXr1JNrnv"
"1591761262-68","https://kumparan.com/search/haji%202020/","Ibadah Haji 2020 Dibatalkan, Dananya Buat Infrastruktur dan Perkuat Rupiah?","https://kumparan.com/kumparanbisnis/ibadah-haji-2020-dibatalkan-dananya-buat-infrastruktur-dan-perkuat-rupiah-1tXWyupLUnM"
"1591761262-154","https://kumparan.com/search/haji%202020/","Tak Bisa Tahun ini, 765 CJH Kabupaten Probolinggo ke Makkah Tahun Depan","https://kumparan.com/wartabromo/tak-bisa-tahun-ini-765-cjh-kabupaten-probolinggo-ke-makkah-tahun-depan-1tXt73b48mI"
"1591761262-167","https://kumparan.com/search/haji%202020/","5 Berita Populer: Ibadah Haji Ditiadakan hingga Balita Tak Boleh Naik KRL","https://kumparan.com/kumparannews/5-berita-populer-ibadah-haji-ditiadakan-hingga-balita-tak-boleh-naik-krl-1tXHp8URYwu"
"1591761262-184","https://kumparan.com/search/haji%202020/","Kelola Bandara Lampung, AP II Layani Penerbangan Umrah dan Haji","https://kumparan.com/kumparanbisnis/kelola-bandara-lampung-ap-ii-layani-penerbangan-umrah-dan-haji-1s2drdfJjio"
"1591761262-86","https://kumparan.com/search/haji%202020/","DPR-Kemenag Tetapkan Biaya Haji 2020 Rp 35,2 Juta, Kuota 231 ribu","https://kumparan.com/kumparannews/dpr-kemenag-tetapkan-biaya-haji-2020-rp-35-2-juta-kuota-231-ribu-1sk7ptb4il8"
"1591761262-87","https://kumparan.com/search/haji%202020/","Ridwan Kamil ke Warga Jabar yang Batal Haji 2020: Sabar, InsyAllah Diganti","https://kumparan.com/kumparannews/ridwan-kamil-ke-warga-jabar-yang-batal-haji-2020-sabar-insyallah-diganti-1tXBnYJvoBu"
"1591761262-106","https://kumparan.com/search/haji%202020/","8.328 Calon Jemaah Asal Sumut Batal Berangkat Haji","https://kumparan.com/sumutnews/8-328-calon-jemaah-asal-sumut-batal-berangkat-haji-1tXE7Vu5MnE"
"1591761262-57","https://kumparan.com/search/haji%202020/","Kloter 1 Haji Semestinya Berangkat 26 Juni, Pemerintah Tak Cukup Waktu Urus Visa","https://kumparan.com/kumparannews/kloter-1-haji-semestinya-berangkat-26-juni-pemerintah-tak-cukup-waktu-urus-visa-1tX7ojHfWeI"
"1591761262-101","https://kumparan.com/search/haji%202020/","Ibadah Haji Dibatalkan, Pengusaha Travel Umrah Haji Rugi Rp 2 Triliun","https://kumparan.com/kumparanbisnis/ibadah-haji-dibatalkan-pengusaha-travel-umrah-haji-rugi-rp-2-triliun-1tXxdRkmYGo"
"1591761262-62","https://kumparan.com/search/haji%202020/","IPHI: Pembatalan Haji 2020 Sangat Rasional Demi Kemaslahatan Umat","https://kumparan.com/kumparannews/iphi-pembatalan-haji-2020-sangat-rasional-demi-kemaslahatan-umat-1tXE93jalov"
"1591761262-173","https://kumparan.com/search/haji%202020/","Berharap Menghidupkan Kertajati dari Jemaah Calon Haji","https://kumparan.com/kumparanbisnis/berharap-menghidupkan-kertajati-dari-jemaah-calon-haji-1qvMlvTFa89"
"1591761262-148","https://kumparan.com/search/haji%202020/","Update Corona di Indonesia 2 Juni: 27.549 Positif, 1.663 Meninggal, 7.935 Sembuh","https://kumparan.com/kumparannews/update-corona-di-indonesia-2-juni-27-549-positif-1-663-meninggal-7-935-sembuh-1tWrp7w0SxT"
"1591761262-118","https://kumparan.com/search/haji%202020/","Slot Keberangkatan Calon Jemaah Haji yang Meninggal Bisa Digantikan Keluarga","https://kumparan.com/wartabromo/slot-keberangkatan-calon-jemaah-haji-yang-meninggal-bisa-digantikan-keluarga-1sx9Bk9z9s4"
"1591761262-95","https://kumparan.com/search/haji%202020/","Tak Ada Ibadah Haji 2020, 682 Calon Jemaah di Bali Batal Berangkat ke Tanah Suci","https://kumparan.com/kumparannews/tak-ada-ibadah-haji-2020-682-calon-jemaah-di-bali-batal-berangkat-ke-tanah-suci-1tXA6ojp75E"
"1591761262-53","https://kumparan.com/search/haji%202020/","Pemerintah Sempat Pertimbangkan Berangkatkan 50% Jemaah Haji 2020","https://kumparan.com/kumparannews/pemerintah-sempat-pertimbangkan-berangkatkan-50-jemaah-haji-2020-1tX7saHobwS"
"1591761262-23","https://kumparan.com/search/haji%202020/","Haji 2020 Batal, Begini Prosedur Pengembalian Setoran Lunas Biaya Haji Reguler","https://kumparan.com/kumparannews/haji-2020-batal-begini-prosedur-pengembalian-setoran-lunas-biaya-haji-reguler-1tXVqQ4qY37"
"1591761262-100","https://kumparan.com/search/haji%202020/","Sebelum Wafat di Lokasi Syuting, Eddy Riwanto Ingin Naik Haji di 2020","https://kumparan.com/kumparanhits/sebelum-wafat-di-lokasi-syuting-eddy-riwanto-ingin-naik-haji-di-2020-1qzI6Yco2Pe"
"1591761262-85","https://kumparan.com/search/haji%202020/","Kemenag Harap Arab Saudi Segera Beri Kepastian Haji 2020 Sebelum Ramadhan Usai","https://kumparan.com/kumparannews/kemenag-harap-arab-saudi-segera-beri-kepastian-haji-2020-sebelum-ramadhan-usai-1tRJTwSVrLD"
"1591761262-42","https://kumparan.com/search/haji%202020/","Arab Saudi Tetap Persiapkan Haji 2020","https://kumparan.com/muhammad-1588879676672232734/arab-saudi-tetap-persiapkan-haji-2020-1tRMERPV3gZ"
"1591761262-16","https://kumparan.com/search/haji%202020/","Ibadah Haji 2020 Ditiadakan, Pengusaha Travel Angkat Bicara","https://kumparan.com/kumparanbisnis/ibadah-haji-2020-ditiadakan-pengusaha-travel-angkat-bicara-1tX9jluYuXW"
